nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899,1987,"actor,miscellaneous,producer","tt0072308,tt0050419,tt0053137,tt0027125"
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack,archive_footage","tt0037382,tt0075213,tt0117057,tt0038355"
nm0000003,Brigitte Bardot,1934,\N,"actress,music_department,producer","tt0057345,tt0049189,tt0056404,tt0054452"
nm0000004,John Belushi,1949,1982,"actor,writer,music_department","tt0072562,tt0077975,tt0080455,tt0078723"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0050986,tt0083922,tt0069467,tt0050976"
nm0000006,Ingrid Bergman,1915,1982,"actress,producer,soundtrack","tt0034583,tt0036855,tt0038109,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,producer,miscellaneous","tt0034583,tt0042593,tt0043265,tt0037382"
nm0000008,Marlon Brando,1924,2004,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849"
nm0000009,Richard Burton,1925,1984,"actor,producer,director","tt0061184,tt0087803,tt0059749,tt0057877"
nm0000010,James Cagney,1899,1986,"actor,director,producer","tt0029870,tt0031867,tt0042041,tt0035575"
nm0000011,Gary Cooper,1901,1961,"actor,stunts,producer","tt0044706,tt0034167,tt0035896,tt0027996"
nm0000012,Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140"
nm0000013,Doris Day,1922,2019,"actress,producer,miscellaneous","tt0048317,tt0045591,tt0053172,tt0049470"
nm0000014,Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806"
nm0000015,James Dean,1931,1955,"actor,miscellaneous,archive_footage","tt0048028,tt0048545,tt0049261,tt0043228"
nm0000016,Georges Delerue,1925,1992,"composer,music_department,actor","tt0091763,tt0096320,tt0069946,tt8847712"
nm0000017,Marlene Dietrich,1901,1992,"actress,music_department,soundtrack","tt0051201,tt0055031,tt0052311,tt0021156"
nm0000018,Kirk Douglas,1916,2020,"actor,producer,director","tt0080736,tt0054331,tt0049456,tt0050825"
nm0000019,Federico Fellini,1920,1993,"writer,director,actor","tt0050783,tt0056801,tt0053779,tt0071129"
nm0000020,Henry Fonda,1905,1982,"actor,producer,miscellaneous","tt0050083,tt0082846,tt0032551,tt0051207"
nm0000021,Joan Fontaine,1917,2013,"actress,producer,soundtrack","tt0034248,tt0032976,tt0035751,tt0036969"
nm0000022,Clark Gable,1901,1960,"actor,producer,soundtrack","tt0025316,tt0031381,tt0026752,tt0023382"
nm0000023,Judy Garland,1922,1969,"actress,soundtrack,archive_footage","tt0032138,tt0047522,tt0037059,tt0055031"
nm0000024,John Gielgud,1904,2000,"actor,director,writer","tt0082031,tt0071877,tt0045943,tt0117631"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,composer,miscellaneous","tt0119488,tt0117731,tt0077269,tt0112715"
nm0000026,Cary Grant,1904,1986,"actor,producer,soundtrack","tt0053125,tt0056923,tt0034248,tt0053143"
nm0000027,Alec Guinness,1914,2000,"actor,writer,soundtrack","tt0076759,tt0050212,tt0041546,tt0051739"
nm0000028,Rita Hayworth,1918,1987,"actress,producer,soundtrack","tt0038559,tt0040525,tt0035103,tt0036723"
nm0000029,Margaux Hemingway,1954,1996,"actress,miscellaneous,archive_footage","tt0077800,tt0102122,tt0110138,tt0074802"
nm0000030,Audrey Hepburn,1929,1993,"actress,soundtrack,archive_footage","tt0054698,tt0046250,tt0056923,tt0058385"
nm0000031,Katharine Hepburn,1907,2003,"actress,writer,soundtrack","tt0063227,tt0032904,tt0082846,tt0043265"
nm0000032,Charlton Heston,1923,2008,"actor,director,writer","tt0052618,tt0049833,tt0067525,tt0063442"
nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0054215,tt0053125,tt0052357,tt0056869"
nm0000034,William Holden,1918,1981,"actor,miscellaneous,soundtrack","tt0046359,tt0047437,tt0043014,tt0074958"
nm0000035,James Horner,1953,2015,"music_department,composer,actor","tt0120338,tt0499549,tt0177971,tt0120746"
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0017925,tt0015163,tt0015324,tt0016332"
nm0000037,Gene Kelly,1912,1996,"actor,miscellaneous,director","tt0045152,tt0043278,tt0053946,tt0041716"
nm0000038,Grace Kelly,1929,1982,"actress,producer,soundtrack","tt0046912,tt0047396,tt0048728,tt0046874"
nm0000039,Deborah Kerr,1921,2007,"actress,soundtrack,archive_footage","tt0049408,tt0045793,tt0039192,tt0050105"
nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0062622,tt0072684,tt0066921,tt0093058"
nm0000041,Akira Kurosawa,1910,1998,"writer,director,assistant_director","tt0051808,tt0080979,tt0089881,tt0047478"
nm0000042,Alan Ladd,1913,1964,"actor,producer,camera_department","tt0046303,tt0035432,tt0038369,tt0055718"
nm0000043,Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881"
nm0000044,Burt Lancaster,1913,1994,"actor,producer,miscellaneous","tt0045793,tt0085859,tt0051036,tt0057091"
nm0000045,Bruce Lee,1940,1973,"actor,writer,miscellaneous","tt0068767,tt0068935,tt0070034,tt0067824"
nm0000046,Vivien Leigh,1913,1967,"actress,writer,soundtrack","tt0044081,tt0031381,tt0033238,tt0034272"
nm0000047,Sophia Loren,1934,\N,"actress,soundtrack,archive_footage","tt0054749,tt0058335,tt0076085,tt0060121"
nm0000048,Peter Lorre,1904,1964,"actor,writer,director","tt0022100,tt0036613,tt0034583,tt0033870"
nm0000049,Henry Mancini,1924,1994,"music_department,composer,actor","tt0054698,tt0085101,tt0057413,tt0383216"
nm0000050,Groucho Marx,1890,1977,"actor,writer,director","tt0026778,tt0023969,tt0028772,tt0023027"
nm0000051,James Mason,1909,1984,"actor,producer,writer","tt0056193,tt0053125,tt0047522,tt0084855"
nm0000052,Marcello Mastroianni,1924,1996,"actor,producer,miscellaneous","tt0053779,tt0056801,tt0076085,tt0058335"
nm0000053,Robert Mitchum,1917,1997,"actor,producer,writer","tt0039689,tt0048424,tt0056197,tt0050356"
nm0000054,Marilyn Monroe,1926,1962,"actress,writer,music_department","tt0053291,tt0048605,tt0045810,tt0045891"
nm0000055,Alfred Newman,1900,1970,"music_department,composer,actor","tt0049408,tt0042192,tt0065377,tt0434409"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0257044,tt0084855,tt0110684"
nm0000057,David Niven,1910,1983,"actor,producer,director","tt0074937,tt0052182,tt0048960,tt0057413"
nm0000058,Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729"
nm0000059,Laurence Olivier,1907,1989,"actor,producer,director","tt0069281,tt0077269,tt0032976,tt0074860"
nm0000060,Gregory Peck,1916,2003,"actor,producer,miscellaneous","tt0056592,tt0038109,tt0077269,tt0046250"
nm0000061,Tyrone Power,1914,1958,"actor,producer,soundtrack","tt0051201,tt0034405,tt0042256,tt0043959"
nm0000062,Elvis Presley,1935,1977,"music_artist,actor,music_department","tt0056023,tt0056585,tt0054692,tt0058725"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,director","tt0057831,tt0056172,tt0049456,tt0064952"
nm0000064,Edward G. Robinson,1893,1973,"actor,writer,soundtrack","tt0036775,tt0040506,tt0038991,tt0038057"
nm0000065,Nino Rota,1911,1979,"composer,music_department,actor","tt0068646,tt0063518,tt0071562,tt0056801"
nm0000066,Jane Russell,1921,2011,"actress,producer,soundtrack","tt0045810,tt0044863,tt0043643,tt0043476"
nm0000067,Miklós Rózsa,1907,1995,"music_department,composer,actor","tt0052618,tt0038109,tt0036775,tt0054847"
nm0000068,Randolph Scott,1898,1987,"actor,producer,miscellaneous","tt0026942,tt0056412,tt0046375,tt0051047"
nm0000069,Frank Sinatra,1915,1998,"music_artist,actor,producer","tt0045793,tt0056218,tt0049314,tt0052218"
nm0000070,Max Steiner,1888,1971,"music_department,composer,actor","tt0034583,tt0031381,tt0040897,tt0036613"
nm0000071,James Stewart,1908,1997,"actor,director,producer","tt0052357,tt0052561,tt0032904,tt0038650"
nm0000072,Elizabeth Taylor,1932,2011,"actress,producer,soundtrack","tt0061184,tt0051459,tt0053318,tt0061407"
nm0000073,Shirley Temple,1928,2014,"actress,writer,miscellaneous","tt0016029,tt0030657,tt0024914,tt0031580"
nm0000074,Gene Tierney,1920,1991,"actress,soundtrack,archive_footage","tt0037008,tt0039420,tt0035979,tt0037865"
nm0000075,Spencer Tracy,1900,1967,"actor,soundtrack,archive_footage","tt0055031,tt0061735,tt0053946,tt0047849"
nm0000076,François Truffaut,1932,1984,"writer,director,producer","tt0070460,tt0075860,tt0053198,tt0055032"
nm0000077,Franz Waxman,1906,1967,"music_department,composer,actor","tt0043014,tt0032976,tt0034248,tt0026138"
nm0000078,John Wayne,1907,1979,"actor,producer,art_department","tt0065126,tt0056217,tt0075213,tt0053580"
nm0000079,Raquel Welch,1940,2023,"actress,producer,writer","tt0072281,tt0060397,tt0066115,tt0061653"
nm0000080,Orson Welles,1915,1985,"actor,writer,director","tt0033467,tt0052311,tt0040525,tt0057427"
nm0000081,Natalie Wood,1938,1981,"actress,music_department,miscellaneous","tt0048545,tt0055614,tt0055471,tt0057263"
nm0000082,Victor Young,1899,1956,"music_department,composer,actor","tt0048960,tt0045061,tt3315342,tt0119094"
nm0000083,Alan Miller,\N,\N,"editor,writer,director","tt0424773,tt0969216,tt27504185,tt0320978"
nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous","tt0473444,tt0397535,tt0101640,tt4566758"
nm0000085,Henner Hofmann,1950,\N,"cinematographer,producer,camera_department","tt0097523,tt0097738,tt0113482,tt1825758"
nm0000086,Louis de Funès,1914,1983,"actor,writer,director","tt0069747,tt0074103,tt0079200,tt0064425"
nm0000087,Elena Koreneva,1953,\N,"actress,casting_director,soundtrack","tt0122969,tt5847740,tt7529350,tt0123138"
nm0000088,Aleksey Korenev,1927,1995,"director,writer,assistant_director","tt0191104,tt0100069,tt0068304,tt0063752"
nm0000089,Richard Paul,1940,1998,"actor,soundtrack","tt0117318,tt0075489,tt0088529,tt0076009"
nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0765443,tt0117631,tt0963178,tt0139809"
nm0000091,Gérard Pirès,1942,\N,"director,writer,actor","tt0152930,tt0064297,tt0282552,tt0421974"
nm0000092,John Cleese,1939,\N,"actor,writer,producer","tt0095159,tt0071853,tt0063929,tt0085959"
nm0000093,Brad Pitt,1963,\N,"producer,actor,executive","tt0137523,tt0356910,tt0114746,tt1210166"
nm0000094,J. Reifel,\N,\N,writer,"tt0118886,tt0117915,tt0116030,tt0118631"
nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0075686,tt0079522,tt0118954,tt0091167"
nm0000096,Gillian Anderson,1968,\N,"actress,producer,director","tt0106179,tt2294189,tt0455590,tt0442632"
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0115624,tt0306047,tt0426592,tt0893509"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,director","tt0108778,tt3442006,tt1723121,tt0279113"
nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt1065073,tt0108399,tt0412175,tt0145531"
nm0000100,Rowan Atkinson,1955,\N,"actor,writer,producer","tt0274166,tt1634122,tt0110357,tt0118689"
